index,category_name,category_url,status,requested_limit,collected_count,success_count,sku_count,output_dir,started_at,finished_at,error
1,2-in-1s,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,partial,100,40,30,284,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\001_2-in-1s,2026-07-10 08:47:34,2026-07-10 08:55:02,
2,3D Printing,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,partial,100,40,25,217,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\002_3D_Printing,2026-07-10 08:55:34,2026-07-10 09:04:37,
3,Access Points,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,partial,100,40,30,51,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\003_Access_Points,2026-07-10 09:05:29,2026-07-10 09:12:40,
4,Accessories,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\004_Accessories,2026-07-10 09:13:10,2026-07-10 09:23:32,[Errno 22] Invalid argument
5,Action Camera Accessories,https://www.lazada.sg/catalog?q=Action%20Camera%20Accessories&from=hp_categories&src=all_channel,partial,100,40,30,76,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\005_Action_Camera_Accessories,2026-07-10 11:16:43,2026-07-10 11:24:41,
6,Action Figures,https://www.lazada.sg/catalog?q=Action%20Figures&from=hp_categories&src=all_channel,partial,100,40,30,173,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\006_Action_Figures,2026-07-10 11:25:39,2026-07-10 11:34:39,
7,Action/Video Cameras,https://www.lazada.sg/catalog?q=Action/Video%20Cameras&from=hp_categories&src=all_channel,partial,100,40,7,50,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\007_Action_Video_Cameras,2026-07-10 11:35:25,2026-07-10 11:50:02,
8,Adapters & Cables,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,partial,100,40,1,0,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\008_Adapters_&_Cables,2026-07-10 11:50:55,2026-07-10 12:07:02,
9,Adult Diapers & Incontinence,https://www.lazada.sg/catalog?q=Adult%20Diapers%20%26%20Incontinence&from=hp_categories&src=all_channel,partial,100,40,29,100,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\009_Adult_Diapers_&_Incontinence,2026-07-10 12:07:33,2026-07-10 12:16:14,
10,Air Care,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\010_Air_Care,2026-07-10 12:16:54,2026-07-10 12:20:03,[Errno 22] Invalid argument
11,Air Conditioner,https://www.lazada.sg/catalog?q=Air%20Conditioner&from=hp_categories&src=all_channel,partial,100,40,30,655,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\011_Air_Conditioner,2026-07-10 12:20:11,2026-07-10 12:29:10,
12,Air Cooler,https://www.lazada.sg/catalog?q=Air%20Cooler&from=hp_categories&src=all_channel,partial,100,40,30,76,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\012_Air_Cooler,2026-07-10 12:29:46,2026-07-10 12:37:43,
