序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
1,,3387709003,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3387709003.html,pending,,,{}
2,,2449713659,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2449713659.html,empty,detail fields not found,2026-07-10T04:03:24.433489+00:00,"{""module"": {}, ""page_json"": []}"
3,,2835473149,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2835473149.html,empty,detail fields not found,2026-07-10T03:59:47.913912+00:00,"{""module"": {}, ""page_json"": []}"
4,,3276979424,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3276979424.html,pending,,,{}
5,,3422075610,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3422075610.html,empty,detail fields not found,2026-07-10T03:52:31.927945+00:00,"{""module"": {}, ""page_json"": []}"
6,,2689776758,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2689776758.html,empty,detail fields not found,2026-07-10T04:04:25.758002+00:00,"{""module"": {}, ""page_json"": []}"
7,,3608231214,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3608231214.html,empty,detail fields not found,2026-07-10T03:56:11.421995+00:00,"{""module"": {}, ""page_json"": []}"
8,,13787485621,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13787485621.html,empty,detail fields not found,2026-07-10T04:02:21.832941+00:00,"{""module"": {}, ""page_json"": []}"
9,,3490378046,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3490378046.html,empty,detail fields not found,2026-07-10T03:52:00.562946+00:00,"{""module"": {}, ""page_json"": []}"
10,,520104203,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i520104203.html,pending,,,{}
