序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
1,,3170810119,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3170810119.html,pending,,,{}
2,,2746945386,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2746945386.html,pending,,,{}
3,,2044597653,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2044597653.html,empty,detail fields not found,2026-07-10T04:18:02.201695+00:00,"{""module"": {}, ""page_json"": []}"
4,,13778973196,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13778973196.html,pending,,,{}
5,,2972889913,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2972889913.html,pending,,,{}
6,,2563955645,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2563955645.html,pending,,,{}
7,,3433222005,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3433222005.html,pending,,,{}
8,,13716253550,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13716253550.html,pending,,,{}
9,,1341874802,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i1341874802.html,empty,detail fields not found,2026-07-10T04:18:31.461544+00:00,"{""module"": {}, ""page_json"": []}"
10,,1341886340,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Air%20Care&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i1341886340.html,pending,,,{}
