序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
1,,13696463516,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13696463516.html,pending,,,{}
2,,13694272627,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13694272627.html,pending,,,{}
3,,3134428981,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3134428981.html,pending,,,{}
4,,3347522784,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3347522784.html,pending,,,{}
5,,3212027965,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3212027965.html,pending,,,{}
6,,13701668009,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13701668009.html,pending,,,{}
7,,3068943789,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3068943789.html,pending,,,{}
8,,3202814713,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3202814713.html,pending,,,{}
9,,3068014798,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3068014798.html,pending,,,{}
10,,3023334354,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3023334354.html,pending,,,{}
11,,2637748513,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2637748513.html,pending,,,{}
12,,3440349056,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3440349056.html,pending,,,{}
13,,303344607,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Convenience%20Foods&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i303344607.html,pending,,,{}
