序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
1,,3515917271,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Flip+Flops%2C+Slides+%26+Sandals&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3515917271.html,pending,,,{}
2,,13678459010,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Flip+Flops%2C+Slides+%26+Sandals&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i13678459010.html,pending,,,{}
3,,13787719332,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Flip+Flops%2C+Slides+%26+Sandals&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i13787719332.html,pending,,,{}
4,,13797988025,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Flip+Flops%2C+Slides+%26+Sandals&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i13797988025.html,pending,,,{}
