序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
1,,2234573962,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2234573962.html,pending,,,{}
2,,2990129459,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2990129459.html,error,"navigation error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/products/pdp-i2990129459.html"", waiting until ""domcontentloaded""
",2026-07-19T07:46:16.734834+00:00,{}
3,,3583030972,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3583030972.html,pending,,,{}
4,,3147745077,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3147745077.html,error,"navigation error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/products/pdp-i3147745077.html"", waiting until ""domcontentloaded""
",2026-07-19T07:43:42.907841+00:00,{}
5,,2472802587,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2472802587.html,error,"navigation error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/products/pdp-i2472802587.html"", waiting until ""domcontentloaded""
",2026-07-19T07:45:25.582125+00:00,{}
6,,3610919068,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3610919068.html,pending,,,{}
7,,3583060742,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3583060742.html,pending,,,{}
8,,2521656315,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2521656315.html,pending,,,{}
9,,3147723195,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3147723195.html,pending,,,{}
10,,3449682008,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3449682008.html,pending,,,{}
