序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
1,,2272153737,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2272153737.html,pending,,,{}
2,,3281840697,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3281840697.html,pending,,,{}
3,,3317195085,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3317195085.html,pending,,,{}
4,,3464064805,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3464064805.html,pending,,,{}
5,,2748533799,Animal Essentials Seasonal Allergy | Environmental Seasonal Allergies Support | Holistic Healthcare for Dogs & Cats,https://laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png,"[""https://filebroker-cdn.lazada.sg/kf/S89c8504f04ae49c2b5d4dada3f3cfce7z.jpg"", ""https://laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""https://laz-img-sg.alicdn.com/p/1640f7a53f4c46c25b3d2f1ccf92eb61.jpg"", ""https://laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""https://laz-img-sg.alicdn.com/p/4257dc6d135b406a1ca6aaec67ad7946.jpg""]",,,,"[{""type"": ""text"", ""text"": ""Specifications SKU 2748533799_SGAMZ-18645322537 Type of Animal Dogs & Cats,Cats Product Form Tincture Pet Life Stage & Condition All Life Stage What’s in the box Animal Essentials Seasonal Allergy Highlights Product Summary Seasonal Allergy tincture is an alcohol-free, sweet-tasting glycerin herbal tincture designed to safely help relieve occasional seasonal allergies. Helps maintain normal histamine levels. Seasonal Allergy is also available in powder, with added Quercetin! A flavonoid found in a wide variety of vegetables, quercetin is a powerful antioxidant that helps to stabilize the cells that release histamine in the body. Histamine, when left unchecked, will act upon nerves to trigger itching and respiratory constriction, the hallmarks of allergic reactions. By combining quercetin along with the proven allergy support benefits of nettle leaf, eyebright herb, licorice, and bromelain (pineapple enzyme), this easy-to-administer powder supplement will bring fast relief to allergies that may be caused by pollen, molds, or airborne pollution. Helps regulate histamine release during allergic episodes. Helps maintain a normal inflammatory response. Rich in naturally occurring vitamins and minerals. Made with 100% human-suitable, certified organic herbs. Suitable for dogs and cats of all ages. Used and recommended by veterinarians. Tincture are vegetable glycerin based; low alcohol (3%) One 2.8 oz (80g) powder jar will last one month for a 50 pound dog; up to 3 months for a cat! Available in tincture 1oz (currently available) or powder 80g (coming soon) Description If you want to report an issue with this item Click Here""}]",[],"[{""pid"": ""120132602"", ""name"": ""Size"", ""type"": ""0"", ""values"": [{""vid"": ""Tincture 1oz"", ""name"": ""Tincture 1oz"", ""image"": ""https://laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""hover_image"": ""https://laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg""}, {""vid"": ""-2"", ""name"": ""Powder 80g"", ""image"": ""https://laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""hover_image"": ""https://laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png""}]}]","[{""sku_id"": ""18645322536"", ""inner_sku_id"": ""2748533799_SGAMZ-18645322536"", ""item_id"": ""2748533799"", ""seller_id"": ""1133811820"", ""prop_path"": ""120132602:Tincture 1oz"", ""specs"": {""Size"": ""Tincture 1oz""}, ""price"": """", ""price_value"": """", ""sale_price"": """", ""original_price"": """", ""coupon_price"": """", ""discount"": """", ""stock_min"": 1, ""stock_max"": 5, ""available"": true, ""image"": ""https://laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""images"": [""https://filebroker-cdn.lazada.sg/kf/S89c8504f04ae49c2b5d4dada3f3cfce7z.jpg"", ""https://laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""https://laz-img-sg.alicdn.com/p/1640f7a53f4c46c25b3d2f1ccf92eb61.jpg"", ""https://laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""https://laz-img-sg.alicdn.com/p/4257dc6d135b406a1ca6aaec67ad7946.jpg""], ""page_path"": ""/products/animal-essentials-seasonal-allergy-environmental-seasonal-allergies-support-holistic-healthcare-for-dogs-cats-i2748533799-s18645322536.html"", ""request_params"": ""itemId=2748533799&sellerId=1133811820&skuId=18645322536""}, {""sku_id"": ""18645322537"", ""inner_sku_id"": ""2748533799_SGAMZ-18645322537"", ""item_id"": ""2748533799"", ""seller_id"": ""1133811820"", ""prop_path"": ""120132602:-2"", ""specs"": {""Size"": ""Powder 80g""}, ""price"": """", ""price_value"": """", ""sale_price"": """", ""original_price"": """", ""coupon_price"": """", ""discount"": """", ""stock_min"": 1, ""stock_max"": 5, ""available"": true, ""image"": ""https://laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""images"": [""https://filebroker-cdn.lazada.sg/kf/S89c8504f04ae49c2b5d4dada3f3cfce7z.jpg"", ""https://laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""https://laz-img-sg.alicdn.com/p/1640f7a53f4c46c25b3d2f1ccf92eb61.jpg"", ""https://laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""https://laz-img-sg.alicdn.com/p/4257dc6d135b406a1ca6aaec67ad7946.jpg""], ""page_path"": ""/products/animal-essentials-seasonal-allergy-environmental-seasonal-allergies-support-holistic-healthcare-for-dogs-cats-i2748533799-s18645322537.html"", ""request_params"": ""itemId=2748533799&sellerId=1133811820&skuId=18645322537""}]",,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2748533799.html,ok,,2026-07-22T05:13:50.732747+00:00,"{""module"": {""productOption"": {""dnr"": false, ""options"": [{""image"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""path"": ""120132602:Tincture 1oz""}, {""image"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""path"": ""120132602:-2""}], ""skuBase"": {""properties"": [{""multiBuyProp"": false, ""name"": ""Size"", ""needLabel"": false, ""pid"": ""120132602"", ""type"": ""0"", ""values"": [{""hoverImage"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""image"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""name"": ""Tincture 1oz"", ""vid"": ""Tincture 1oz""}, {""hoverImage"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""image"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""name"": ""Powder 80g"", ""vid"": ""-2""}]}], ""skus"": [{""cartItemId"": ""2748533799"", ""cartSkuId"": ""18645322536"", ""innerSkuId"": ""2748533799_SGAMZ-18645322536"", ""itemId"": ""2748533799"", ""pageId"": ""2748533799"", ""pagePath"": ""/products/animal-essentials-seasonal-allergy-environmental-seasonal-allergies-support-holistic-healthcare-for-dogs-cats-i2748533799-s18645322536.html"", ""propPath"": ""120132602:Tincture 1oz"", ""requestParams"": ""itemId=2748533799&sellerId=1133811820&skuId=18645322536"", ""sellerId"": ""1133811820"", ""skuId"": ""18645322536""}, {""cartItemId"": ""2748533799"", ""cartSkuId"": ""18645322537"", ""innerSkuId"": ""2748533799_SGAMZ-18645322537"", ""itemId"": ""2748533799"", ""pageId"": ""2748533799"", ""pagePath"": ""/products/animal-essentials-seasonal-allergy-environmental-seasonal-allergies-support-holistic-healthcare-for-dogs-cats-i2748533799-s18645322537.html"", ""propPath"": ""120132602:-2"", ""requestParams"": ""itemId=2748533799&sellerId=1133811820&skuId=18645322537"", ""sellerId"": ""1133811820"", ""skuId"": ""18645322537""}]}}, ""skuGalleries"": {""0"": [{""poster"": ""https://filebroker-cdn.lazada.sg/kf/S89c8504f04ae49c2b5d4dada3f3cfce7z.jpg"", ""soundPlay"": false, ""type"": ""video"", ""videoID"": ""30138036699""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""type"": ""img""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/1640f7a53f4c46c25b3d2f1ccf92eb61.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/1640f7a53f4c46c25b3d2f1ccf92eb61.jpg"", ""type"": ""img""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""src"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""type"": ""img""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/4257dc6d135b406a1ca6aaec67ad7946.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/4257dc6d135b406a1ca6aaec67ad7946.jpg"", ""type"": ""img""}, {""itemLevel"": false, ""poster"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""src"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""type"": ""img""}, {""itemLevel"": false, ""poster"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""type"": ""img""}], ""18645322536"": [{""poster"": ""https://filebroker-cdn.lazada.sg/kf/S89c8504f04ae49c2b5d4dada3f3cfce7z.jpg"", ""soundPlay"": false, ""type"": ""video"", ""videoID"": ""30138036699""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""type"": ""img""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/1640f7a53f4c46c25b3d2f1ccf92eb61.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/1640f7a53f4c46c25b3d2f1ccf92eb61.jpg"", ""type"": ""img""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""src"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""type"": ""img""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/4257dc6d135b406a1ca6aaec67ad7946.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/4257dc6d135b406a1ca6aaec67ad7946.jpg"", ""type"": ""img""}, {""itemLevel"": false, ""poster"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""type"": ""img""}, {""itemLevel"": false, ""poster"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""src"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""type"": ""img""}], ""18645322537"": [{""poster"": ""https://filebroker-cdn.lazada.sg/kf/S89c8504f04ae49c2b5d4dada3f3cfce7z.jpg"", ""soundPlay"": false, ""type"": ""video"", ""videoID"": ""30138036699""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""type"": ""img""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/1640f7a53f4c46c25b3d2f1ccf92eb61.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/1640f7a53f4c46c25b3d2f1ccf92eb61.jpg"", ""type"": ""img""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""src"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""type"": ""img""}, {""itemLevel"": true, ""poster"": ""//laz-img-sg.alicdn.com/p/4257dc6d135b406a1ca6aaec67ad7946.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/4257dc6d135b406a1ca6aaec67ad7946.jpg"", ""type"": ""img""}, {""itemLevel"": false, ""poster"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""src"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""type"": ""img""}, {""itemLevel"": false, ""poster"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""src"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""type"": ""img""}]}, ""product"": {""desc"": ""<article><p><span></span></p></article>"", ""highlights"": ""<article class=\""lzd-article\""><p style=\""line-height: 1.7;text-align: left;text-indent: 0;margin-left: 0;margin-top: 0;margin-bottom: 0;\""><span style=\""font-weight: bold;font-style: italic;text-decoration: underline;\"">Product Summary</span></p><p style=\""line-height: 1.7;text-align: left;text-indent: 0;margin-left: 0;margin-top: 0;margin-bottom: 0;\""><span>Seasonal Allergy tincture is an alcohol-free, sweet-tasting glycerin herbal tincture designed to safely help relieve occasional seasonal allergies. Helps maintain normal histamine levels.</span></p><p style=\""line-height: 1.7;text-align: left;text-indent: 0;margin-left: 0;margin-top: 0;margin-bottom: 0;\""><span>Seasonal Allergy is also available in powder, with added Quercetin! A flavonoid found in a wide variety of vegetables, quercetin is a powerful antioxidant that helps to stabilize the cells that release histamine in the body. Histamine, when left unchecked, will act upon nerves to trigger itching and respiratory constriction, the hallmarks of allergic reactions. By combining quercetin along with the proven allergy support benefits of nettle leaf, eyebright herb, licorice, and bromelain (pineapple enzyme), this easy-to-administer powder supplement will bring fast relief to allergies that may be caused by pollen, molds, or airborne pollution.</span></p><ul><li><div style=\""line-height: 1.7;text-align: left;text-indent: 0;\""><span>Helps regulate histamine release during allergic episodes.</span></div></li><li><div style=\""line-height: 1.7;text-align: left;text-indent: 0;\""><span>Helps maintain a normal inflammatory response.</span></div></li><li><div style=\""line-height: 1.7;text-align: left;text-indent: 0;\""><span>Rich in naturally occurring vitamins and minerals.</span></div></li><li><div style=\""line-height: 1.7;text-align: left;text-indent: 0;\""><span>Made with 100% human-suitable, certified organic herbs.</span></div></li><li><div style=\""line-height: 1.7;text-align: left;text-indent: 0;\""><span>Suitable for dogs and cats of all ages.</span></div></li><li><div style=\""line-height: 1.7;text-align: left;text-indent: 0;\""><span>Used and recommended by veterinarians.</span></div></li><li><div style=\""line-height: 1.7;text-align: left;text-indent: 0;\""><span>Tincture are vegetable glycerin based; low alcohol (3%)</span></div></li><li><div style=\""line-height: 1.7;text-align: left;text-indent: 0;\""><span>One 2.8 oz (80g) powder jar will last one month for a 50 pound dog; up to 3 months for a cat!</span></div></li><li><div style=\""line-height: 1.7;text-align: left;text-indent: 0;\""><span>Available in tincture 1oz (currently available) or powder 80g (coming soon)</span></div></li></ul></article>"", ""link"": ""https://www.lazada.sg/products/animal-essentials-seasonal-allergy-environmental-seasonal-allergies-support-holistic-healthcare-for-dogs-cats-i2748533799-s18645322537.html"", ""rightImgRatio"": 1.9, ""title"": ""Animal Essentials Seasonal Allergy | Environmental Seasonal Allergies Support | Holistic Healthcare for Dogs & Cats""}, ""globalConfig"": {""country"": ""SG"", ""showTBCBreadCrumb"": true, ""facebookAppKey"": ""273149279545058"", ""siteName"": ""Lazada"", ""pvChecksum"": ""53732040"", ""reGetDetail"": true, ""isTBC"": false, ""voucherListApi"": ""mtop.lazada.detail.getVouchers"", ""reverseDateMap"": {}, ""viewedSFOUrl"": ""//pdpdesc-m.lazada.sg/confirmMsg"", ""host"": ""lazada-pdp-ns-s033064244055.rg-sg.os30"", ""voucherCollectApi"": ""mtop.lazada.promotion.voucher.spread"", ""currency"": ""SGD"", ""robots"": ""noindex,follow"", ""lang"": ""en_SG"", ""atmosphereInfo"": {""18645322536"": {}, ""18645322537"": {}}, ""isPcRevamp"": true, ""toastRule"": {""voucherPrice"": {""duration"": 3, ""hit"": true, ""intervalHours"": 24, ""stayTime"": 3}}, ""reportUrl"": ""https://pages.lazada.sg/wow/gcp/sg/report/pdpindex?itemId=2748533799"", ""env"": ""new env"", ""showSKUSelect"": false, ""site"": ""SG"", ""isAPPLE"": false, ""mdsMap"": {""shareTitle"": ""Share"", ""likeTitle"": ""Like""}, ""recommendParameter"": ""category_id=62114404&item_id=2748533799&sku=2748533799_SGAMZ-18645322537&seller_id=1133811820&is_tbc=0&_=1784697223852&brand_id=39704"", ""showHTBTips"": false, ""voucherListParams"": ""timeStamp=1784697223852&itemId=2748533799&lzd=B7ECF3973E53CB5C1E15243B3B4EEDAD89CC43104B4AEEA08C09406AD629EDBD6686896A4D43096B83200E03D2DB800BFD241606172A08AE4B5847720D69D246CB58208F7C274B6CBEF5F9F01BE5B774AE7803EF881836C6AE7803EF881836C6&skuId=18645322537&checkCode=6a92745900862c6187c95645a15e8340"", ""isMsiteRevamp"": false, ""msiteExperimentConfig"": {""hideSmbCard"": false, ""showMiniSmb"": false, ""showSmbCloseBt"": false, ""collapsedReviews"": false, ""collapsedFaq"": false, ""collapsedDetail"": false, ""collapsedHighlights"": false, ""collapsedJfy"": false, ""changedJfyToThreeCol"": false, ""changedJfyToRow"": false, ""moveJfyUnderFaq"": false, ""isControlGroup"": true, ""needCsr"": false, ""bucketId"": 0}, ""isDaraz"": false}, ""skuInfos"": {""0"": {""categoryId"": ""62114404"", ""image"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""inWishlist"": false, ""itemId"": ""2748533799"", ""operation"": {""disable"": false, ""operationWeight"": 6, ""text"": ""Add to Cart"", ""type"": ""default""}, ""preSaleTag"": false, ""quantity"": {""limit"": {""max"": 5, ""min"": 1}, ""type"": ""default""}, ""quantityList"": [{""limit"": {""max"": 5, ""min"": 1}, ""type"": ""default""}], ""sellerId"": ""1133811820"", ""skuId"": ""18645322537""}, ""18645322536"": {""categoryId"": ""62114404"", ""image"": ""//laz-img-sg.alicdn.com/p/a7bf404a69b0476e4b4267342cb084a4.jpg"", ""inWishlist"": false, ""itemId"": ""2748533799"", ""operation"": {""disable"": false, ""operationWeight"": 6, ""text"": ""Add to Cart"", ""type"": ""default""}, ""preSaleTag"": false, ""quantity"": {""limit"": {""max"": 5, ""min"": 1}, ""type"": ""default""}, ""quantityList"": [{""limit"": {""max"": 5, ""min"": 1}, ""type"": ""default""}], ""sellerId"": ""1133811820"", ""skuId"": ""18645322536""}, ""18645322537"": {""categoryId"": ""62114404"", ""image"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""inWishlist"": false, ""itemId"": ""2748533799"", ""operation"": {""disable"": false, ""operationWeight"": 6, ""text"": ""Add to Cart"", ""type"": ""default""}, ""preSaleTag"": false, ""quantity"": {""limit"": {""max"": 5, ""min"": 1}, ""type"": ""default""}, ""quantityList"": [{""limit"": {""max"": 5, ""min"": 1}, ""type"": ""default""}], ""sellerId"": ""1133811820"", ""skuId"": ""18645322537""}}, ""tracking"": {""pdt_category"": [""Pet Supplies"", ""Pet Healthcare"", ""Supplements & Vitamins""], ""pagetype"": ""pdp"", ""pdt_discount"": """", ""pdt_photo"": ""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png"", ""v_voya"": 1, ""brand_name"": ""No Brand"", ""brand_id"": ""39704"", ""pdt_sku"": 2748533799, ""core"": {""country"": ""SG"", ""layoutType"": ""desktop"", ""language"": ""en"", ""currencyCode"": ""SGD""}, ""seller_name"": """", ""pdt_simplesku"": 18645322537, ""pdt_name"": ""Animal Essentials Seasonal Allergy | Environmental Seasonal Allergies Support | Holistic Healthcare for Dogs & Cats"", ""page"": {""regCategoryId"": """", ""xParams"": ""_p_typ=pdp&_p_ispdp=1&_p_item=2748533799_SGAMZ-18645322537&_p_prod=2748533799&_p_sku=18645322537&_p_slr=""}, ""supplier_id"": """", ""pdt_price"": ""$54.50"", ""extraInfo"": {""traceId"": ""9b66d1a717846972235848579e"", ""cnaByBe"": ""yjHnIuANpU0CAXUbYGIrYtjK"", ""supportH5Revamp"": ""0""}}, ""primaryKey"": {""defaultSkuId"": ""18645322537"", ""fromShare"": false, ""itemId"": ""2748533799"", ""loadedSkuIds"": [""18645322537"", ""18645322536""], ""pageId"": ""2748533799"", ""purchaseQuantity"": 0, ""sellerId"": ""1133811820"", ""skuId"": ""18645322537"", ""skuNames"": [""Powder 80g""], ""skuPath"": {""120132602"": ""-2""}, ""skuTabPath"": {}}, ""requestHost"": ""www.lazada.sg"", ""seo"": {""ocrContent"": """", ""highlightText"": """"}}, ""page_json"": [{""@type"": ""Product"", ""@context"": ""https://schema.org"", ""name"": ""Animal Essentials Seasonal Allergy | Environmental Seasonal Allergies Support | Holistic Healthcare for Dogs & Cats"", ""image"": [""//laz-img-sg.alicdn.com/p/12eb6837987c9154008238ff36d984cf.png""], ""category"": ""Pet Supplies > Pet Healthcare > Supplements & Vitamins"", ""brand"": {""@type"": ""Brand""}, ""sku"": ""2748533799_SGAMZ-18645322537"", ""mpn"": 2748533799, ""description"": ""Product Summary. Seasonal Allergy tincture is an alcohol-free, sweet-tasting glycerin herbal tincture designed to safely help relieve occasional seasonal allergies. Helps maintain normal histamine levels. Seasonal Allergy is also available in powder, with added Quercetin A flavonoid found in a wide variety of vegetables, quercetin is a powerful antioxidant that helps to stabilize the cells that release histamine in the body. Histamine, when left unchecked, will act upon nerves to trigger itching and respiratory constriction, the hallmarks of allergic reactions. By combining quercetin along with the proven allergy support benefits of nettle leaf, eyebright herb, licorice, and bromelain pineapple enzyme), this easy-to-administer powder supplement will bring fast relief to allergies that may be caused by pollen, molds, or airborne pollution. Helps regulate histamine release during allergic episodes. Helps maintain a normal inflammatory response. Rich in naturally occurring vitamins and mi"", ""url"": ""https://www.lazada.sg/products/animal-essentials-seasonal-allergy-environmental-seasonal-allergies-support-holistic-healthcare-for-dogs-cats-i2748533799.html"", ""offers"": {""@type"": ""AggregateOffer"", ""availability"": ""https://schema.org/InStock"", ""url"": ""https://www.lazada.sg/products/animal-essentials-seasonal-allergy-environmental-seasonal-allergies-support-holistic-healthcare-for-dogs-cats-i2748533799.html"", ""seller"": {""@type"": ""Organization"", ""name"": """"}, ""hasMerchantReturnPolicy"": {""@type"": ""MerchantReturnPolicy"", ""applicableCountry"": ""SG"", ""returnPolicyCategory"": ""https://schema.org/MerchantReturnNotPermitted""}}}, {""@context"": ""https://schema.org"", ""@type"": ""BreadcrumbList"", ""itemListElement"": []}, {""@context"": ""https://schema.org"", ""@type"": ""VideoObject"", ""name"": ""Animal Essentials Seasonal Allergy | Environmental Seasonal Allergies Support | Holistic Healthcare for Dogs & Cats | Lazada Singapore"", ""description"": ""Product Summary. Seasonal Allergy tincture is an alcohol-free, sweet-tasting glycerin herbal tincture designed to safely help relieve occasional seasonal allergies. Helps maintain normal histamine levels. Seasonal Allergy is also available in powder, with added Quercetin A flavonoid found in a wide variety of vegetables, quercetin is a powerful antioxidant that helps to stabilize the cells that release histamine in the body. Histamine, when left unchecked, will act upon nerves to trigger itching and respiratory constriction, the hallmarks of allergic reactions. By combining quercetin along with the proven allergy support benefits of nettle leaf, eyebright herb, licorice, and bromelain pineapple enzyme), this easy-to-administer powder supplement will bring fast relief to allergies that may be caused by pollen, molds, or airborne pollution. Helps regulate histamine release during allergic episodes. Helps maintain a normal inflammatory response. Rich in naturally occurring vitamins and mi"", ""thumbnailUrl"": ""https://filebroker-cdn.lazada.sg/kf/S89c8504f04ae49c2b5d4dada3f3cfce7z.jpg"", ""uploadDate"": ""2023-04-24 12:14:50"", ""duration"": ""PT59S"", ""contentUrl"": ""https://cloud.video.lazada.com/play/u/525429/p/1/e/6/t/1/d/sd/30138036699.mp4"", ""embedUrl"": ""https://cloud.video.lazada.com/play/u/525429/p/1/e/6/t/1/d/sd/30138036699.mp4""}]}"
6,,3526344248,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3526344248.html,pending,,,{}
7,,3451193111,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3451193111.html,pending,,,{}
8,,13706578146,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i13706578146.html,pending,,,{}
9,,2829785268,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2829785268.html,pending,,,{}
10,,3087595012,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Pet+Healthcare&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3087595012.html,pending,,,{}
