index,category_name,category_name_cn,category_url,status,requested_limit,collected_count,success_count,sku_count,output_dir,started_at,finished_at,error
262,2-in-1s,二合一笔记本,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,284,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\001_2-in-1s,2026-07-10 08:47:34,2026-07-10 08:55:02,
701,3D Printing,3D打印,https://www.lazada.sg/catalog?q=3D+Printing&from=hp_categories&src=all_channel&price=20-,partial,100,40,25,217,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\002_3D_Printing,2026-07-10 08:55:34,2026-07-10 09:04:37,
263,Access Points,无线接入点,https://www.lazada.sg/catalog?q=Access+Points&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,51,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\003_Access_Points,2026-07-10 09:05:29,2026-07-10 09:12:40,
261,Accessories,配件,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\004_Accessories,2026-07-10 09:13:10,2026-07-10 09:23:32,[Errno 22] Invalid argument
1,Action Camera Accessories,运动相机配件,https://www.lazada.sg/catalog?q=Action+Camera+Accessories&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,76,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\005_Action_Camera_Accessories,2026-07-10 11:16:43,2026-07-10 11:24:41,
264,Action Figures,手办模型,https://www.lazada.sg/catalog?q=Action+Figures&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,173,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\006_Action_Figures,2026-07-10 11:25:39,2026-07-10 11:34:39,
128,Action/Video Cameras,运动/摄像机,https://www.lazada.sg/catalog?q=Action%2FVideo+Cameras&from=hp_categories&src=all_channel&price=20-,partial,100,40,7,50,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\007_Action_Video_Cameras,2026-07-10 11:35:25,2026-07-10 11:50:02,
2,Adapters & Cables,转接头和线缆,https://www.lazada.sg/catalog?q=Adapters+%26+Cables&from=hp_categories&src=all_channel&price=20-,partial,100,40,1,0,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\008_Adapters_&_Cables,2026-07-10 11:50:55,2026-07-10 12:07:02,
702,Adult Diapers & Incontinence,成人纸尿裤和失禁护理,https://www.lazada.sg/catalog?q=Adult+Diapers+%26+Incontinence&from=hp_categories&src=all_channel&price=20-,partial,100,40,29,100,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\009_Adult_Diapers_&_Incontinence,2026-07-10 12:07:33,2026-07-10 12:16:14,
265,Air Care,空气护理,https://www.lazada.sg/catalog?q=Air+Care&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\010_Air_Care,2026-07-10 12:16:54,2026-07-10 12:20:03,[Errno 22] Invalid argument
266,Air Conditioner,空调,https://www.lazada.sg/catalog?q=Air+Conditioner&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,655,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\011_Air_Conditioner,2026-07-10 12:20:11,2026-07-10 12:29:10,
267,Air Cooler,冷风机,https://www.lazada.sg/catalog?q=Air+Cooler&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,76,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\012_Air_Cooler,2026-07-10 12:29:46,2026-07-10 12:37:43,
268,Air Purifier,空气净化器,https://www.lazada.sg/catalog?q=Air+Purifier&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\013_Air_Purifier,2026-07-10 12:38:21,2026-07-10 12:42:23,[Errno 22] Invalid argument
229,Air Purifier Accessories,空气净化器配件,https://www.lazada.sg/catalog?q=Air+Purifier+Accessories&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\014_Air_Purifier_Accessories,2026-07-10 12:59:04,2026-07-10 12:59:10,Lazada verification or traffic page detected
269,All-In-One,一体机电脑,https://www.lazada.sg/catalog?q=All-In-One&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\015_All-In-One,2026-07-10 12:59:23,2026-07-10 12:59:29,Lazada verification or traffic page detected
703,Analog Televisions,模拟电视,https://www.lazada.sg/catalog?q=Analog+Televisions&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\016_Analog_Televisions,2026-07-10 12:59:57,2026-07-10 13:00:02,Lazada verification or traffic page detected
704,Aquarium Needs,水族用品,https://www.lazada.sg/catalog?q=Aquarium+Needs&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\017_Aquarium_Needs,2026-07-10 13:00:11,2026-07-10 13:00:17,Lazada verification or traffic page detected
270,Aromatherapy,香薰,https://www.lazada.sg/catalog?q=Aromatherapy&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\018_Aromatherapy,2026-07-10 13:01:14,2026-07-10 13:01:19,Lazada verification or traffic page detected
3,Aromatherapy and Home Fragrance,香薰和家居香氛,https://www.lazada.sg/catalog?q=Aromatherapy+and+Home+Fragrance&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\019_Aromatherapy_and_Home_Fragrance,2026-07-10 13:01:34,2026-07-10 13:01:40,Lazada verification or traffic page detected
271,Art Supplies,Art Supplies,https://www.lazada.sg/catalog?q=Art+Supplies&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\020_Art_Supplies,2026-07-10 13:15:24,2026-07-10 13:15:30,Lazada verification or traffic page detected
272,Artificial Flowers & Plants,Artificial Flowers & Plants,https://www.lazada.sg/catalog?q=Artificial+Flowers+%26+Plants&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\021_Artificial_Flowers_&_Plants,2026-07-10 13:15:44,2026-07-10 13:15:50,Lazada verification or traffic page detected
273,Arts & Crafts,Arts & Crafts,https://www.lazada.sg/catalog?q=Arts+%26+Crafts&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,195,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\022_Arts_&_Crafts,2026-07-10 13:55:50,2026-07-10 14:03:18,
727,Asian Drinks,Asian Drinks,https://www.lazada.sg/catalog?q=Asian+Drinks&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,102,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\023_Asian_Drinks,2026-07-10 14:03:50,2026-07-10 14:11:56,
129,Audio,音频设备,https://www.lazada.sg/catalog?q=Audio&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\024_Audio,2026-07-10 14:12:50,2026-07-10 14:13:40,Lazada verification or traffic page detected
130,Automobiles,手机,https://www.lazada.sg/catalog?q=Automobiles&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,156,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\025_Automobiles,2026-07-10 20:27:42,2026-07-10 20:35:38,
131,Automotive,Automotive,https://www.lazada.sg/catalog?q=Automotive&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,187,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\026_Automotive,2026-07-10 20:36:31,2026-07-10 20:44:33,
